Code,Family,Species,Sex,Location,Total_body_length,Prosoma_length,Prosoma_width,Prosoma_height,Tibia_I_length,Fang_length
312,Linyphiidae,Acorigone_acoreensis,male,Azores,1.265,0.559,0.382,0.118,0.324,0.136
312,Linyphiidae,Acorigone_acoreensis,male,Azores,1.206,0.559,0.412,0.118,0.353,0.152
312,Linyphiidae,Acorigone_acoreensis,male,Azores,1.206,0.588,0.412,0.118,0.324,0.152
312,Linyphiidae,Acorigone_acoreensis,male,Azores,1.176,0.529,0.382,0.118,0.294,0.152
312,Linyphiidae,Acorigone_acoreensis,male,Azores,1.206,0.559,0.412,0.118,0.324,0.152
312,Linyphiidae,Acorigone_acoreensis,female,Azores,1.265,0.559,0.412,0.118,0.324,0.152
312,Linyphiidae,Acorigone_acoreensis,female,Azores,1.235,0.588,0.412,0.118,0.324,0.152
312,Linyphiidae,Acorigone_acoreensis,female,Azores,1.265,0.559,0.412,0.118,0.324,0.136
312,Linyphiidae,Acorigone_acoreensis,female,Azores,1.324,0.559,0.412,0.118,0.353,0.152
312,Linyphiidae,Acorigone_acoreensis,female,Azores,1.265,0.559,0.412,0.118,0.324,0.152
PC3PG,Salticidae,Aelurillus_luctuosus,male,Iberian Pen.,5.440,2.740,1.980,_,_,_
PS1PH,Salticidae,Aelurillus_luctuosus,male,Iberian Pen.,5.860,3.060,2.270,_,_,_
PS1PJ,Salticidae,Aelurillus_luctuosus,male,Iberian Pen.,5.930,2.790,1.990,_,_,_
PS2PE,Salticidae,Aelurillus_luctuosus,male,Iberian Pen.,5.660,2.970,2.250,1.550,0.940,0.350
PS2PF,Salticidae,Aelurillus_luctuosus,male,Iberian Pen.,5.690,2.930,2.210,_,_,_
PP1PL,Liocranidae,Agroeca_inopina,female,Iberian Pen.,5.380,_,_,_,_,_
PA2PC,Liocranidae,Agroeca_inopina,female,Iberian Pen.,5.380,_,_,_,_,_
PO1PD,Liocranidae,Agroeca_inopina,female,Iberian Pen.,5.560,2.380,1.850,1.400,1.200,0.630
PC4PD,Liocranidae,Agroeca_inopina,female,Iberian Pen.,5.750,_,_,_,_,_
PS2PI,Liocranidae,Agroeca_inopina,female,Iberian Pen.,5.750,_,_,_,_,_
PS2PL,Liocranidae,Agroeca_Liocranidae41,female,Iberian Pen.,4.840,1.950,1.480,1.050,1.080,0.450
22,Linyphiidae,Agyneta_decora,male,Azores,1.750,0.727,0.477,0.159,0.659,0.167
22,Linyphiidae,Agyneta_decora,male,Azores,1.636,0.614,0.523,0.136,0.455,0.121
22,Linyphiidae,Agyneta_decora,male,Azores,1.682,0.727,0.523,0.182,0.682,0.167
22,Linyphiidae,Agyneta_decora,male,Azores,1.864,0.750,0.500,0.159,0.682,0.167
22,Linyphiidae,Agyneta_decora,male,Azores,1.727,0.705,0.568,0.159,0.614,0.167
22,Linyphiidae,Agyneta_decora,female,Azores,1.932,0.682,0.500,0.182,0.523,0.167
22,Linyphiidae,Agyneta_decora,female,Azores,1.636,0.591,0.455,0.136,0.500,0.152
22,Linyphiidae,Agyneta_decora,female,Azores,1.977,0.614,0.500,0.159,0.477,0.152
22,Linyphiidae,Agyneta_decora,female,Azores,1.705,0.614,0.500,0.136,0.477,0.121
22,Linyphiidae,Agyneta_decora,female,Azores,1.932,0.795,0.591,0.227,0.545,0.167
PM1B1N2,Linyphidae,Agyneta_fuscipalpa,male,Iberian Pen.,_,0.710,0.530,0.250,_,0.140
PS1B2D1,Linyphidae,Agyneta_fuscipalpa,male,Iberian Pen.,_,0.640,0.460,0.260,_,0.120
PS1PF,Linyphidae,Agyneta_fuscipalpa,male,Iberian Pen.,1.760,0.790,0.540,0.250,_,0.180
PS2B1D1,Linyphidae,Agyneta_fuscipalpa,male,Iberian Pen.,1.700,0.710,0.500,0.260,0.590,0.160
PS2PB,Linyphidae,Agyneta_fuscipalpa,male,Iberian Pen.,_,0.740,0.560,0.250,_,0.170
PP4B1D1,Linyphidae,Agyneta_fuscipalpa,female,Iberian Pen.,1.880,0.750,0.570,0.270,0.690,0.150
PP2PH,Linyphidae,Agyneta_orites,male,Iberian Pen.,,0.810,0.590,0.290,_,0.200
PC1B1N1,Linyphidae,Agyneta_pseudorurestris,male,Iberian Pen.,1.670,0.680,0.530,0.250,0.640,0.140
PM1PE,Linyphidae,Agyneta_pseudorurestris,male,Iberian Pen.,_,0.790,0.540,0.290,_,0.180
PS2B1D1,Linyphidae,Agyneta_pseudorurestris,male,Iberian Pen.,1.620,0.710,0.520,0.290,0.670,0.150
PC1PK,Linyphidae,Agyneta_rurestris,male,Iberian Pen.,1.750,0.900,0.640,0.350,_,0.300
PO2PK,Linyphidae,Agyneta_rurestris,male,Iberian Pen.,_,0.830,0.590,0.280,0.770,0.220
PP1S1N2,Linyphidae,Agyneta_rurestris,male,Iberian Pen.,_,0.840,0.600,0.280,0.750,0.230
PA2B1N1,Linyphidae,Agyneta_rurestris,female,Iberian Pen.,1.770,0.800,0.610,0.260,0.730,0.130
PC1PK,Linyphidae,Agyneta_rurestris,female,Iberian Pen.,_,0.780,0.540,0.200,_,0.150
PM2S1D1,Linyphidae,Agyneta_rurestris,female,Iberian Pen.,_,0.720,0.480,0.230,_,0.140
PO1B1N1,Linyphidae,Agyneta_rurestris,female,Iberian Pen.,_,0.790,0.570,0.230,_,0.150
PO1PD,Linyphidae,Agyneta_simplicitarsis,male,Iberian Pen.,_,0.770,0.530,0.280,_,0.180
PC4PC,Lycosidae,Alopecosa_albofasciata,male,Iberian Pen.,7.500,4.800,3.400,2.250,2.280,0.930
PO2S1D1,Lycosidae,Alopecosa_albofasciata,male,Iberian Pen.,8.250,_,_,_,_,_
PS1PF,Lycosidae,Alopecosa_albofasciata,male,Iberian Pen.,7.500,_,_,_,_,_
PS1PE,Lycosidae,Alopecosa_albofasciata,male,Iberian Pen.,6.500,_,_,_,_,_
PO2PB,Lycosidae,Alopecosa_albofasciata,male,Iberian Pen.,8.100,_,_,_,_,_
PO2PL,Lycosidae,Alopecosa_albofasciata,female,Iberian Pen.,8.300,3.900,2.880,2.500,1.980,0.940
PP4PC,Lycosidae,Alopecosa_barbipes,male,Iberian Pen.,6.160,_,_,_,_,_
PP4PL,Lycosidae,Alopecosa_barbipes,male,Iberian Pen.,7.120,_,_,_,_,_
PP4PF,Lycosidae,Alopecosa_barbipes,male,Iberian Pen.,6.320,3.750,2.590,2.110,1.420,0.600
PP4PC,Lycosidae,Alopecosa_cuneata,male,Iberian Pen.,7.360,4.050,2.850,2.400,1.910,0.670
14732,Lycosidae,Alopecosa_gomerae,male,Canary Is.,6.930,3.360,2.140,0.710,2.290,0.591
14756,Lycosidae,Alopecosa_gomerae,male,Canary Is.,6.860,_,_,_,_,_
3092,Lycosidae,Alopecosa_kulczynskii ,male,Canary Is.,5.273,2.727,2.000,0.818,_,0.485
3093,Lycosidae,Alopecosa_kulczynskii ,male,Canary Is.,5.636,3.182,2.364,1.136,_,0.545
3094,Lycosidae,Alopecosa_kulczynskii ,male,Canary Is.,5.409,2.955,2.182,0.864,_,0.485
